element_type,osmid,amenity,gnis:county_name,name,lon,lat
way,203685775,fuel,,Speedway,-106.49052076666666,31.763240979262147
way,204314449,restaurant,,Rudy's Country Store & Bar-B-Q,-106.58342605762685,31.883504921462013
way,204503845,fast_food,,Burger King,-106.57497104625271,31.839848241468307
way,204503853,restaurant,,Village Inn,-106.57132332145724,31.839088556510283
way,204503855,fuel,,,-106.57657378419262,31.84097971819673
way,217525230,theatre,,Abraham Chavez Theatre,-106.49074674724204,31.757545058693275
way,217550128,parking,,,-106.22196152467282,31.779655435667255
way,217550135,parking,,,-106.21779738213978,31.781194084253364
way,217551122,parking,,,-106.23417146062921,31.784031284361568
way,217616815,parking,,,-106.24642451401937,31.801888899196705
way,217616816,parking,,,-106.24661515053103,31.803894118400596
way,218405576,parking,,,-106.49302445423275,31.762905258983704
way,218405577,parking,,,-106.49294358119039,31.76346189309611
way,218405609,parking,,,-106.49428722258791,31.764978978721736
way,233538953,parking,,,-106.24045084356892,31.79278353782065
way,233538956,parking,,,-106.24137764341788,31.79311324238698
way,238143133,restaurant,,Julio's Cafe Corona,-106.26722411915142,31.80021283561159
way,248731810,parking,,,-106.49997638277898,31.8078058263218
way,248731813,parking,,,-106.49923759693453,31.807855997084324
way,249041584,parking,,,-106.45594594794454,31.765936573165686
way,249044426,theatre,,,-106.45520323393315,31.766573749269448
way,252287715,restaurant,,Cafe El Rincon De Cortez,-106.50690357582414,31.78436615975893
way,262817422,fast_food,,McDonald's,-106.48647771841358,31.755945230903937
way,262818922,theatre,El Paso,Plaza Theatre,-106.48969772032018,31.75908512021121
way,262818932,restaurant,,Fo Sho Vietnamese Cuisine,-106.48595931103182,31.755888927653544
way,263590993,fast_food,,Whataburger,-106.30344260705051,31.721563282856753
way,263591205,fast_food,,Whataburger,-106.4359348340155,31.897912890179764
way,263591382,fast_food,,Whataburger,-106.34192334813845,31.755851855553793
way,263593100,fast_food,,Whataburger,-106.55720956582402,31.858559140540077
way,263642615,fast_food,,Whataburger,-106.36653069999998,31.764746499999994
way,263642848,fast_food,,Whataburger,-106.40742154627956,31.90073941781698
way,263643128,fast_food,,Whataburger,-106.58290885,31.850535400000005
way,263643395,fast_food,,Whataburger,-106.4444209,31.80807745
way,263643909,fast_food,,Whataburger,-106.3589964,31.7939917
way,263646434,fast_food,,McDonald's,-106.3194514,31.763550199999997
way,263646672,fast_food,,Whataburger,-106.54020486659645,31.819791498627854
way,263646793,fast_food,,Whataburger,-106.42157294999998,31.7832677
way,263647426,fast_food,,Whataburger,-106.43932253381944,31.853629653814732
way,263670321,fast_food,,McDonald's,-106.46153638496145,31.766037233025155
way,263683780,fast_food,,Whataburger,-106.27060527943756,31.760239053263213
way,263683960,fast_food,,Whataburger,-106.33199506547298,31.745063220623976
way,263704575,fast_food,,Whataburger,-106.31463167091655,31.680345612347597
way,263704878,fast_food,,Whataburger,-106.40088910110626,31.762077874180523
way,264217518,cafe,,Passport Cafe,-106.44424860400675,31.76936363292413
way,264217520,cafe,,Grasslands Cafe,-106.44203872300426,31.76864258785064
way,264218040,parking,,,-106.44520083247748,31.768299010833605
way,264220281,parking,,,-106.34061476530877,31.708047142554772
way,264222297,parking,,,-106.46144580973437,31.763253204791653
way,264222298,parking,,,-106.46006872992088,31.763776696468497
way,264222303,parking,,,-106.46088198363933,31.765557236689116
way,264235821,parking,,,-106.42610598060179,31.781576623943998
way,264560202,parking,,,-106.43661359435045,31.770946840450165
way,264560203,parking,,,-106.43472283321061,31.768664296195745
way,264560204,parking,,,-106.43392960413942,31.77003600426048
way,264563355,parking,,,-106.43344485232167,31.771051738540194
way,264563358,parking,,,-106.43651501206982,31.77349565654003
way,264563360,parking,,,-106.43532557213518,31.773252698500986
way,264749494,parking,,,-106.5370450357727,31.81472474399737
way,264786036,parking,,,-106.40552202895249,31.753611637365026
way,264786037,parking,,,-106.40229868758108,31.751813010753324
way,264786041,parking,,,-106.40299944040264,31.756542148871127
way,264786048,parking,,,-106.40279089188807,31.747292489023614
way,264786049,parking,,,-106.4020977812152,31.74816857246175
way,264786052,parking,,,-106.40148804999997,31.748954299999998
way,264786053,parking,,,-106.40306208815346,31.749466064857355
way,264786054,parking,,,-106.40103850347538,31.74952750369968
way,264786055,parking,,,-106.40323886810799,31.748582015356593
way,264786057,parking,,,-106.40494694290952,31.747477125227448
way,264786058,parking,,,-106.4055970230045,31.747769067432667
way,264786059,parking,,,-106.40281466784332,31.75040493417825
way,264786060,parking,,,-106.40352872145391,31.746431445595107
way,265351208,parking,,,-106.49334540074067,31.766879719193263
way,265351231,parking,,,-106.49434428229422,31.767408040575035
way,265382772,parking,,,-106.43347151252537,31.787034389403722
way,265383218,parking,,Dr. Green Parking Lot,-106.5127088856723,31.822689692458848
way,265384521,parking,,,-106.54547997624732,31.837623274805342
way,265384613,parking,,,-106.54417005965318,31.837670805422484
way,265384649,parking,,,-106.54651635911614,31.835664993641462
way,265449999,parking,,,-106.49298760861244,31.76735811614044
way,265451717,parking,,,-106.49200754999998,31.76538755
way,265451718,parking,,,-106.49136615,31.764667549999995
way,265451719,parking,,,-106.49242097290909,31.764297116290084
way,265451723,parking,,,-106.4925279286646,31.763837972382113
way,265452714,parking,,,-106.49163892467631,31.764215073353686
way,265453542,parking,,,-106.49486543340888,31.767132154151128
way,265453543,parking,,,-106.4952747,31.766960750000006
way,265457987,parking,,,-106.48832186241886,31.765817914299923
way,265457989,parking,,,-106.48912172135498,31.766087072573196
way,265459208,parking,,,-106.49629055332177,31.780075202661113
way,265459212,parking,,,-106.50024630073976,31.786356711043762
way,265460279,parking,,,-106.49310795310092,31.764365054035586
way,265460280,parking,,,-106.4926505,31.764626800000002
way,265460281,parking,,,-106.49360871772457,31.76555349217281
way,265460282,parking,,,-106.49434857983707,31.765914085195735
way,265460283,parking,,,-106.4947437667806,31.76620459581188
way,265467144,parking,,,-106.49450356574401,31.766833336443025
way,265468512,parking,,,-106.49487660000001,31.76799665
way,265474687,parking,,,-106.51407003936401,31.814720795360827
way,265480385,parking,,,-106.51493440132872,31.81792868624623
way,265480388,parking,,,-106.51406231960485,31.817099795565674
way,265480389,parking,,,-106.51344931860497,31.817724468270768
way,265480390,parking,,,-106.51301277984038,31.818033395903427
way,265482375,restaurant,,Chutney,-106.51828110000001,31.819521249999994
way,265483326,parking,,,-106.51370696542807,31.81895646858628
way,265560937,arts_centre,,The Summit,-106.51337524999998,31.818750800000004
way,265643567,parking,,,-106.5583892180544,31.85846448067622
way,265648880,parking,,,-106.49639660640854,31.76823087466775
way,265649692,parking,,,-106.49684676129931,31.768733814569355
way,265649696,parking,,,-106.49733420000003,31.7691526
way,265649698,parking,,,-106.49818015456775,31.76936403531718
way,265649786,parking,,,-106.49741924903027,31.770002533102
way,268483289,fast_food,,Burger King,-106.31851816410033,31.76651956992087
way,268494056,fast_food,,Jack in the Box,-106.39516225764251,31.789499757860455
way,268496101,fuel,,alon,-106.42370351741445,31.930132209441034
way,274223756,restaurant,,IHOP,-106.54360953175035,31.819966528284912
way,283131070,parking,,,-106.38592787457647,31.78201389696141
way,285226846,parking,,,-106.42043899049584,31.92052305711714
way,285226857,parking,,,-106.41975041817213,31.919664836116272
way,285226858,parking,,,-106.42083979141441,31.918646137432443
way,285268490,parking,,,-106.43490283339682,31.911912670250725
way,286922594,parking,,Glory Road Transfer Center and Parking Garage,-106.50406914565063,31.776942848000065
way,293384801,restaurant,,Buffalo Wild Wings,-106.54201368588474,31.820020939345397
way,294352094,parking,,,-106.54117068863154,31.817429786988797
way,299390017,parking,,,-106.40337109929501,31.939361054634624
way,299390018,parking,,,-106.40486524965607,31.938245565904772
way,301713081,parking,,,-106.50053277515498,31.769275706071806
way,301713082,parking,,,-106.50163789234496,31.770664261658123
way,301713084,parking,,,-106.50286235430627,31.77115814048333
way,302681771,parking,,,-106.33573735917534,31.673124866531886
way,303083807,parking,,,-106.35541644633606,31.754973320449466
way,305597847,cinema,,Cinemark East Montana,-106.24539556825563,31.80729564667674
way,305600352,parking,,,-106.24938816891641,31.79576758845706
way,305602854,cafe,,Starbucks,-106.26712386758116,31.79324534280538
way,305976466,parking,,,-106.34446248389979,31.7472136583728
way,305986956,restaurant,,Hayashi Hibachi,-106.34581238547676,31.753815331450102
way,305986969,fast_food,,,-106.34293828754055,31.754880456405772
way,305986971,fast_food,,Burger King,-106.34445617138712,31.754304201260076
way,305986973,fast_food,,Dunkin',-106.34504388693844,31.75386449198766
way,305986988,restaurant,,Pizza Hut,-106.34680279999999,31.752573700000003
way,306113840,parking,,,-106.32802543860605,31.69909043666021
way,306113850,parking,,,-106.32986591214029,31.700955013979108
way,306113868,parking,,,-106.33173886067688,31.703021636713725
way,306113891,parking,,,-106.33510912542778,31.707119184280582
way,307374701,parking,,,-106.57624611683666,31.887351100323407
way,307374702,parking,,,-106.53997973028248,31.818821764744865
way,307374705,parking,,,-106.56174177640254,31.86654094309285
way,307374706,parking,,,-106.56771572937735,31.878887185197076
way,307374707,parking,,,-106.5761169581217,31.896757703042553
way,307374711,parking,,,-106.54817154436054,31.86189756017304
way,307374714,parking,,,-106.57697019805742,31.878715911876746
way,307374716,parking,,,-106.55040404685009,31.88185931433713
way,307374717,parking,,,-106.56285096754148,31.866153393076207
way,307374720,parking,,,-106.56695804289511,31.878949655517484
way,307374759,parking,,,-106.54207203572231,31.81857047065046
way,307374761,parking,,,-106.5858479065493,31.897821344465616
way,307374762,parking,,,-106.53092503126527,31.81610452712948
way,307374763,parking,,,-106.55700632227335,31.860171673023142
way,307374764,parking,,,-106.57616351458768,31.899337917596295
