WORKORDERID,ACTUALSTARTDATE,ACTUALFINISHDATE,UNITSACCOMP,WOXCOORDINATE,WOYCOORDINATE
710171,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,1,433482.6,10657325.5
710174,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,13,433415.3,10657630.38
710175,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,2,433421.29,10657908.75
710176,2/28/2020  12:00:00 PM,2/28/2020  12:00:00 PM,69,439508.03,10633781.6
710177,2/28/2020  12:00:00 PM,2/28/2020  12:00:00 PM,77,441423.66,10629102.92
710179,2/28/2020  12:00:00 PM,2/28/2020  12:00:00 PM,14,440319.98,10632926.5
710181,2/28/2020  12:00:00 PM,2/28/2020  12:00:00 PM,25,439617.16,10630623.5
710182,2/28/2020  12:00:00 PM,2/28/2020  12:00:00 PM,5,441472.43,10630943.83
710192,2/29/2020  12:00:00 PM,2/29/2020  12:00:00 PM,3,383784.8,10663976.92
710195,2/29/2020  12:00:00 PM,2/29/2020  12:00:00 PM,1,356860.67,10704889.06
710196,2/29/2020  12:00:00 PM,2/29/2020  12:00:00 PM,9,379183.25,10691663
710207,2/29/2020  12:00:00 PM,2/29/2020  12:00:00 PM,1,379420.02,10691157.31
710208,2/29/2020  12:00:00 PM,2/29/2020  12:30:00 PM,1,379546.55,10689711
710211,2/29/2020  12:00:00 PM,2/29/2020  12:00:00 PM,1,351867.94,10691633
710212,3/17/2020  9:00:03 AM,3/17/2020  10:00:09 AM,9,447232.12,10651287
710224,3/17/2020  10:00:37 AM,3/17/2020  10:35:48 AM,6,447223.48,10651162.5
710225,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,1,436371.34,10660018.45
710228,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,4,435866.14,10662719.83
710231,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,5,434821.61,10662635.75
710232,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,9,434250.71,10662681.42
710234,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,4,433992,10662716.42
710236,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,54,433711.61,10662745.17
710238,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,10,433324.31,10662876
710240,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,12,433003.83,10662941.17
710242,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,18,432731.61,10662643.67
710243,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,5,432586.85,10662963.75
710248,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,5,432339.62,10663194.88
710251,2/24/2020  12:00:00 PM,2/24/2020  12:00:00 PM,90,427753.81,10737052.9
710252,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,11,432440.31,10662972.5
710253,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,13,432642.61,10662826
710254,2/24/2020  12:00:00 PM,2/24/2020  12:00:00 PM,90,413577.36,10735339.5
