id,VMT,count,percentage,FIPS
696485,"1 (Tract 103.29, El Paso, TX)",70286.00003,0.41,481410103291
696508,"3 (Tract 11.13, El Paso, TX)",33603.90002,0.2,481410011133
698860,"2 (Tract 103.24, El Paso, TX)",57074.09995,0.33,481410103242
698949,"2 (Tract 43.13, El Paso, TX)",34646.3,0.2,481410043132
698997,"3 (Tract 102.15, El Paso, TX)",48473.39995,0.28,481410102153
702091,"2 (Tract 11.10, El Paso, TX)",25891.59999,0.15,481410011102
702106,"2 (Tract 38.03, El Paso, TX)",15022.50004,0.09,481410038032
702112,"1 (Tract 39.01, El Paso, TX)",23984.9,0.14,481410039011
702167,"2 (Tract 104.07, El Paso, TX)",52516.69994,0.31,481410104072
702177,"2 (Tract 104.09, El Paso, TX)",63850.39996,0.37,481410104092
703954,"2 (Tract 11.04, El Paso, TX)",54275.00007,0.32,481410011042
703961,"3 (Tract 15.02, El Paso, TX)",21280.19998,0.12,481410015023
703963,"1 (Tract 1.10, El Paso, TX)",38148.59999,0.22,481410001101
704059,"2 (Tract 103.31, El Paso, TX)",103088.7001,0.6,481410103312
704123,"1 (Tract 38.03, El Paso, TX)",13235.60001,0.08,481410038031
704404,"3 (Tract 1.01, El Paso, TX)",41288.20001,0.24,481410001013
704409,"3 (Tract 103.03, El Paso, TX)",18114.50004,0.11,481410103033
704543,"2 (Tract 22.01, El Paso, TX)",26979.79994,0.16,481410022012
704588,"1 (Tract 11.14, El Paso, TX)",25774.30004,0.15,481410011141
705543,"2 (Tract 1.08, El Paso, TX)",22036.59995,0.13,481410001082
705671,"1 (Tract 102.14, El Paso, TX)",70228.5,0.41,481410102141
705782,"1 (Tract 8, El Paso, TX)",13777.99999,0.08,481410008001
705881,"1 (Tract 42.01, El Paso, TX)",12057,0.07,481410042011
705889,"3 (Tract 106, El Paso, TX)",45194.10012,0.26,481410106003
706923,"1 (Tract 18, El Paso, TX)",6035.70001,0.04,481410018001
706940,"1 (Tract 2.07, El Paso, TX)",46750.4,0.27,481410002071
706945,"3 (Tract 39.03, El Paso, TX)",9230.799998,0.05,481410039033
707458,"1 (Tract 43.07, El Paso, TX)",13562.60001,0.08,481410043071
707462,"2 (Tract 103.40, El Paso, TX)",44418.99998,0.26,481410103402
707491,"3 (Tract 41.04, El Paso, TX)",13985.00001,0.08,481410041043
707492,"2 (Tract 104.08, El Paso, TX)",54722.10011,0.32,481410104082
710596,"2 (Tract 102.19, El Paso, TX)",36278.70005,0.21,481410102192
710610,"3 (Tract 103.17, El Paso, TX)",22816.29999,0.13,481410103173
710616,"2 (Tract 103.17, El Paso, TX)",18453.29999,0.11,481410103172
710683,"1 (Tract 15.02, El Paso, TX)",7589.100004,0.04,481410015021
710690,"1 (Tract 103.11, El Paso, TX)",31679.39998,0.19,481410103111
713271,"2 (Tract 11.07, El Paso, TX)",33042.90007,0.19,481410011072
713357,"3 (Tract 103.33, El Paso, TX)",40738.90001,0.24,481410103333
713420,"1 (Tract 40.03, El Paso, TX)",40773.39998,0.24,481410040031
713480,"3 (Tract 28, El Paso, TX)",5679.09999,0.03,481410028003
713513,"2 (Tract 102.10, El Paso, TX)",78028.99996,0.46,481410102102
715282,"4 (Tract 104.05, El Paso, TX)",27401.5,0.16,481410104054
715305,"1 (Tract 37.02, El Paso, TX)",17418.60001,0.1,481410037021
