geo_name,NAME,land_area_sqft_single_family,land_area_sqft_multi_family,land_area_sqft_retail,land_area_sqft_office,land_area_sqft_non_retail_attraction,land_area_sqft_mixed_use,land_area_sqft_industrial,land_area_sqft_civic_institutional,land_area_sqft_transportation_utilities,land_area_sqft_open_space,land_area_sqft_agriculture,land_area_sqft_other,land_area_sqft_unknown
102.19,"Census Tract 102.19, El Paso County, Texas",49849900,463386,6768064,612240,652191,680193,955851,2031546,0,1873594,26443198,10625777,0
40.04,"Census Tract 40.04, El Paso County, Texas",11029933,739038,7729930,1804982,0,2458402,366142,1586461,0,539121,521217,1136994,0
11.11,"Census Tract 11.11, El Paso County, Texas",9377482,4850640,8449590,252794,495768,158829,0,1506143,685923,65883479,4154082,21083496,0
22.01,"Census Tract 22.01, El Paso County, Texas",5952825,1006013,2049073,1186323,207649,1569415,0,5260705,0,433248,0,1402176,0
43.17,"Census Tract 43.17, El Paso County, Texas",2839059,2951101,1526054,340058,49131,647871,8927,1044336,98596,0,0,209295,0
35.01,"Census Tract 35.01, El Paso County, Texas",9469797,631852,26880533,5449579,1228712,26157161,10485325,5497327,566293,237929,40554,1476527,0
37.02,"Census Tract 37.02, El Paso County, Texas",7819072,786329,5506952,163043,64968,411372,0,1974516,237603,680768,0,333932,0
40.02,"Census Tract 40.02, El Paso County, Texas",22551982,1877070,38063836,702895,930605,4882362,3445743,9602949,1512274,1120429,38646932,29232824,0
2.05,"Census Tract 2.05, El Paso County, Texas",7070828,1533206,2973600,209150,40294,1439353,0,3588652,0,30831,0,89319,0
1.07,"Census Tract 1.07, El Paso County, Texas",12392856,531420,425541,29448,0,20905,0,2425398,0,1773951,0,789413,0
11.10,"Census Tract 11.10, El Paso County, Texas",18411500,2343613,885251,215104,330242,200276,0,1988205,0,988036,439057,688730,0
25,"Census Tract 25, El Paso County, Texas",13026322,1001191,1756625,53769,119253,323608,181745,1572457,250387,165733,0,691857,0
102.15,"Census Tract 102.15, El Paso County, Texas",23135704,1414894,27420857,5523526,689911,3136270,5598441,10139318,1096317,18829092,3552263,6803771,0
43.13,"Census Tract 43.13, El Paso County, Texas",5775079,1535830,5557931,3877699,5842507,1863807,255199,715443,18691,1345615,0,21013,0
43.20,"Census Tract 43.20, El Paso County, Texas",5620766,44283,2490076,120095,1735029,45363,42934,675035,0,0,0,125139,0
103.25,"Census Tract 103.25, El Paso County, Texas",12054605,242688,2280956,29675,118481,176649,0,1211480,323145,442581,0,2799291,0
43.03,"Census Tract 43.03, El Paso County, Texas",16836815,235315,138837,112082,0,192658,0,1633652,0,196666,0,0,0
19,"Census Tract 19, El Paso County, Texas",516868,353301,1327103,128950,5390,55890,0,542142,0,151193,0,161897,0
2.04,"Census Tract 2.04, El Paso County, Texas",11382748,1003816,6309765,468107,0,314201,1884327,1233583,9962,172671,0,11278,0
103.22,"Census Tract 103.22, El Paso County, Texas",7649766,599569,5808453,186207,1514800,491558,107366,512767,40920,133470,0,1593094,0
103.16,"Census Tract 103.16, El Paso County, Texas",7936449,1422056,631809,159061,0,15652,0,795213,853621,0,0,36553,0
41.07,"Census Tract 41.07, El Paso County, Texas",3299618,0,1705287,71314,700684,127519,0,828626,15192,0,0,118957,0
38.04,"Census Tract 38.04, El Paso County, Texas",10067973,787682,2400630,84626,0,19679,0,1277501,105730,0,358134,744749,0
103.37,"Census Tract 103.37, El Paso County, Texas",13692608,1244036,1223384,944178,61616,85932,0,4032190,236123,388199,0,191869,0
39.03,"Census Tract 39.03, El Paso County, Texas",8766272,1195482,1974958,1563169,572924,383883,0,6190976,12689,1436860,3901522,1183828,0
13.02,"Census Tract 13.02, El Paso County, Texas",54807138,101202,1676064,462449,0,5166699,484677,4287568,26279,5131008,3959813,3928921,0
22.02,"Census Tract 22.02, El Paso County, Texas",2970893,1360487,1714348,739990,95421,249673,0,470220,0,70144,0,84957,0
103.38,"Census Tract 103.38, El Paso County, Texas",19979718,1849390,30500104,3490449,1792723,2311322,3701868,2253206,112261,377678,0,2026603,0
39.02,"Census Tract 39.02, El Paso County, Texas",7102739,212774,2561811,546080,396684,29459,117788,5128912,0,4152435,2208423,2391574,0
26,"Census Tract 26, El Paso County, Texas",4615019,489535,2009816,844839,194141,129577,2343653,280338,38407,884618,0,906966,0
15.02,"Census Tract 15.02, El Paso County, Texas",5918878,412253,1763504,282829,1049182,1157757,0,7937699,108408,2269562,0,242465,0
34.02,"Census Tract 34.02, El Paso County, Texas",8367046,835660,16252778,1424138,4667101,1568372,88990,6653814,3645767,10269,0,413806,0
11.14,"Census Tract 11.14, El Paso County, Texas",7147782,3493494,7491731,2051821,1423981,1389460,0,3149428,214163,277662,0,204628,0
